target_id,apogee_id,ra,dec,telescope,field,surveys
0,2M00000002+7417074,0.000103,74.285408,apo25m,120+12,apogee
1,2M00000019-1924498,0.000832,-19.413851,apo25m,060-75,apogee
2,2M00000032+5737103,0.001335,57.61953,apo25m,116-04,apogee
3,2M00000032+5737103,0.001335,57.61953,apo25m,N7789,apogee
4,2M00000035-7323394,0.001467,-73.394287,lco25m,SMC12,apogee
5,2M00000068+5710233,0.00285,57.173164,apo25m,N7789,apogee
6,2M00000103+1525513,0.004322,15.430942,apo25m,107-46_MGA,apogee
7,2M00000133+5721163,0.005558,57.354549,apo25m,NGC7789_btx,apogee
8,2M00000211+6327470,0.008802,63.463078,apo25m,117+01,apogee
9,2M00000222+5625359,0.009287,56.426662,apo25m,N7789,apogee
10,2M00000233+1452324,0.009748,14.875667,apo25m,105-45,apogee
11,2M00000317+5821383,0.013232,58.360649,apo25m,116-04,apogee
12,2M00000446+5854329,0.018603,58.909149,apo25m,116-04,apogee
13,2M00000506+5656353,0.021113,56.943142,apo25m,NGC7789_MGA,apogee
14,2M00000506+5656353,0.021113,56.943142,apo25m,NGC7789_btx,apogee
15,2M00000523-1937381,0.021818,-19.627274,apo25m,060-75,apogee
16,2M00000535+1504343,0.022311,15.07621,apo25m,105-45,apogee
17,2M00000535+1504343,0.022311,15.07621,apo25m,107-46_MGA,apogee
18,2M00000546+6152107,0.022759,61.869644,apo25m,116+00,apogee
19,2M00000549+1524008,0.022905,15.400249,apo25m,107-46_MGA,apogee
20,2M00000585+1451550,0.024397,14.865286,apo25m,107-46_MGA,apogee
21,2M00000644+5733530,0.02687,57.564724,apo25m,NGC7789_MGA,apogee
22,2M00000662+7528598,0.027622,75.483292,apo25m,120+12,apogee
23,2M00000717-7213573,0.029898,-72.232605,lco25m,SMC12,apogee
24,2M00000797+6436119,0.03324,64.603325,apo25m,117+01,apogee
25,2M00000799+7939442,0.033324,79.662292,apo25m,120+18,apogee
26,2M00000818+5634264,0.034096,56.574017,apo25m,N7789,apogee
27,2M00000866+7122144,0.036099,71.370689,apo25m,120+08,apogee
28,2M00000940+5515185,0.039186,55.255161,apo25m,NGC7789_MGA,apogee
29,2M00000943+6254542,0.03931,62.915077,apo25m,116+00,apogee
30,2M00001045+6126148,0.043567,61.437454,apo25m,116+00,apogee
31,2M00001071+6258172,0.04464,62.97147,apo25m,116+00,apogee
32,2M00001104+6348085,0.046017,63.802372,apo25m,117+01,apogee
33,2M00001153+5736447,0.048061,57.612431,apo25m,NGC7789_MGA,apogee
34,2M00001199+6114138,0.049987,61.237167,apo25m,116+00,apogee
35,2M00001210-1903382,0.050442,-19.060629,apo25m,060-75,apogee
36,2M00001217-1949306,0.050724,-19.825167,apo25m,060-75,apogee
37,2M00001231-7218301,0.051319,-72.308365,lco25m,SMC12,apogee
38,2M00001242+5524391,0.051787,55.410862,apo25m,N7789,apogee
39,2M00001242+5524391,0.051787,55.410862,apo25m,NGC7789_MGA,apogee
40,2M00001296+5851378,0.054009,58.8605,apo25m,116-04,apogee
41,2M00001328+5725563,0.05535,57.432327,apo25m,N7789,apogee
42,2M00001362-1913042,0.056761,-19.217836,apo25m,060-75,apogee
43,2M00001476+5607372,0.061509,56.127014,apo25m,NGC7789_btx,apogee
44,2M00001493+5534446,0.062212,55.579067,apo25m,NGC7789_btx,apogee
45,2M00001508+6229364,0.062859,62.493454,apo25m,116+00,apogee
46,2M00001616+1606151,0.067374,16.104208,apo25m,105-45,apogee
47,2M00001638+7924440,0.068263,79.412231,apo25m,120+18,apogee
48,2M00001648+6306232,0.068697,63.106445,apo25m,116+00,apogee
49,2M00001649-7342309,0.068727,-73.708603,lco25m,SMC12,apogee
50,2M00001653+5540107,0.068896,55.66964,apo25m,N7789,apogee
51,2M00001687+5903034,0.070298,59.050957,apo25m,116-04,apogee
52,2M00001701+7052395,0.070897,70.877655,apo25m,120+08,apogee
53,2M00001717+6147500,0.071565,61.797249,apo25m,116+00,apogee
54,2M00001719+6221324,0.071635,62.359013,apo25m,116+00,apogee
55,2M00001809+5939417,0.07538,59.661602,apo25m,116-04,apogee
56,2M00001877+5938132,0.078214,59.637016,apo25m,116-04,apogee
57,2M00001952+7026133,0.081366,70.437042,apo25m,120+08,apogee
58,2M00001962+6502429,0.081787,65.045258,apo25m,117+01,apogee
59,2M00001977-2003393,0.082388,-20.060944,apo25m,060-75,apogee
60,2M00002005+5703467,0.083554,57.062996,apo25m,N7789,apogee
61,2M00002005+5703467,0.083554,57.062996,apo25m,NGC7789_btx,apogee
62,2M00002012+5612368,0.083874,56.210224,apo25m,N7789,apogee
63,2M00002021+6302567,0.084227,63.049103,apo25m,117+01,apogee
64,2M00002035+6250406,0.084806,62.844631,apo25m,117+01,apogee
65,2M00002036+6153416,0.084866,61.894894,apo25m,116+00,apogee
66,2M00002038-1912052,0.084935,-19.201466,apo25m,060-75,apogee
67,2M00002039+5651114,0.084983,56.853188,apo25m,116-04,apogee
68,2M00002039+5651114,0.084983,56.853188,apo25m,NGC7789_MGA,apogee
69,2M00002039+5651114,0.084983,56.853188,apo25m,NGC7789_btx,apogee
70,2M00002063+1404279,0.08597,14.074443,apo25m,107-46_MGA,apogee
71,2M00002108+5527251,0.087843,55.456989,apo25m,NGC7789_btx,apogee
72,2M00002118+6136420,0.088255,61.611687,apo25m,116+00,apogee
73,2M00002141+8606336,0.089231,86.10936,apo25m,N188,apogee
74,2M00002142-1929009,0.089254,-19.483599,apo25m,060-75,apogee
75,2M00002185+1459100,0.091079,14.986116,apo25m,107-46_MGA,apogee
76,2M00002189+1514141,0.091236,15.237252,apo25m,107-46_MGA,apogee
77,2M00002227+6223341,0.092792,62.392815,apo25m,117+01,apogee
78,2M00002304+6151253,0.096021,61.857037,apo25m,116+00,apogee
79,2M00002338+6457409,0.09742,64.961372,apo25m,117+01,apogee
80,2M00002338+6141442,0.097458,61.695633,apo25m,116+00,apogee
81,2M00002388+6151472,0.099521,61.863117,apo25m,116+00,apogee
82,2M00002422+5642193,0.100924,56.705364,apo25m,NGC7789_MGA,apogee
83,2M00002472+5518473,0.103019,55.313148,apo25m,N7789,apogee
84,2M00002504+1517108,0.10437,15.286342,apo25m,105-45,apogee
85,2M00002504+1517108,0.10437,15.286342,apo25m,107-46_MGA,apogee
86,2M00002509+7040316,0.104582,70.675446,apo25m,120+08,apogee
87,2M00002530+1540564,0.105437,15.682337,apo25m,107-46_MGA,apogee
88,2M00002553+5612163,0.10641,56.204552,apo25m,NGC7789_MGA,apogee
89,2M00002561+5528511,0.106725,55.480873,apo25m,N7789,apogee
90,2M00002588+6130109,0.107837,61.503044,apo25m,116+00,apogee
91,2M00002596+7433383,0.108168,74.560654,apo25m,120+12,apogee
92,2M00002679+5920508,0.111632,59.347458,apo25m,116-04,apogee
93,2M00002707+1424316,0.1128,14.40879,apo25m,107-46_MGA,apogee
94,2M00002728-7318506,0.113674,-73.314072,lco25m,SMC12,apogee
95,2M00002853+6119307,0.118884,61.325195,apo25m,116+00,apogee
96,2M00002868+5550240,0.119503,55.840004,apo25m,N7789,apogee
97,2M00002873+8426345,0.11973,84.442932,apo25m,NGC188_btx,apogee
98,2M00002903+6403157,0.120994,64.054382,apo25m,117+01,apogee
99,2M00002908+6140446,0.121186,61.67907,apo25m,116+00,apogee
