Unnamed: 0,APOGEE_ID,TARGET_ID,TELESCOPE,FIELD,RA,DEC
0,b'VESTA',b'apo1m.calibration.VESTA',b'apo1m',b'calibration',,
1,b'2M00000002+7417074',b'apo25m.120+12.2M00000002+7417074',b'apo25m',b'120+12',0.000103,74.285408
2,b'2M00000019-1924498',b'apo25m.060-75.2M00000019-1924498',b'apo25m',b'060-75',0.000832,-19.413851
3,b'2M00000032+5737103',b'apo25m.116-04.2M00000032+5737103',b'apo25m',b'116-04',0.001335,57.61953
4,b'2M00000032+5737103',b'apo25m.N7789.2M00000032+5737103',b'apo25m',b'N7789',0.001335,57.61953
5,b'2M00000035-7323394',b'lco25m.SMC12.2M00000035-7323394',b'lco25m',b'SMC12',0.001467,-73.394287
6,b'2M00000068+5710233',b'apo25m.N7789.2M00000068+5710233',b'apo25m',b'N7789',0.00285,57.173164
7,b'2M00000103+1525513',b'apo25m.107-46_MGA.2M00000103+1525513',b'apo25m',b'107-46_MGA',0.004322,15.430942
8,b'2M00000133+5721163',b'apo25m.NGC7789_btx.2M00000133+5721163',b'apo25m',b'NGC7789_btx',0.005558,57.354549
9,b'2M00000211+6327470',b'apo25m.117+01.2M00000211+6327470',b'apo25m',b'117+01',0.008802,63.463078
10,b'2M00000222+5625359',b'apo25m.N7789.2M00000222+5625359',b'apo25m',b'N7789',0.009287,56.426662
11,b'2M00000233+1452324',b'apo25m.105-45.2M00000233+1452324',b'apo25m',b'105-45',0.009748,14.875667
12,b'2M00000317+5821383',b'apo25m.116-04.2M00000317+5821383',b'apo25m',b'116-04',0.013232,58.360649
13,b'2M00000446+5854329',b'apo25m.116-04.2M00000446+5854329',b'apo25m',b'116-04',0.018603,58.909149
14,b'2M00000506+5656353',b'apo25m.NGC7789_MGA.2M00000506+5656353',b'apo25m',b'NGC7789_MGA',0.021113,56.943142
15,b'2M00000506+5656353',b'apo25m.NGC7789_btx.2M00000506+5656353',b'apo25m',b'NGC7789_btx',0.021113,56.943142
16,b'2M00000523-1937381',b'apo25m.060-75.2M00000523-1937381',b'apo25m',b'060-75',0.021818,-19.627274
17,b'2M00000535+1504343',b'apo25m.105-45.2M00000535+1504343',b'apo25m',b'105-45',0.022311,15.07621
18,b'2M00000535+1504343',b'apo25m.107-46_MGA.2M00000535+1504343',b'apo25m',b'107-46_MGA',0.022311,15.07621
19,b'2M00000546+6152107',b'apo25m.116+00.2M00000546+6152107',b'apo25m',b'116+00',0.022759,61.869644
20,b'2M00000549+1524008',b'apo25m.107-46_MGA.2M00000549+1524008',b'apo25m',b'107-46_MGA',0.022905,15.400249
21,b'2M00000585+1451550',b'apo25m.107-46_MGA.2M00000585+1451550',b'apo25m',b'107-46_MGA',0.024397,14.865286
22,b'2M00000644+5733530',b'apo25m.NGC7789_MGA.2M00000644+5733530',b'apo25m',b'NGC7789_MGA',0.02687,57.564724
23,b'2M00000662+7528598',b'apo25m.120+12.2M00000662+7528598',b'apo25m',b'120+12',0.027622,75.483292
24,b'2M00000717-7213573',b'lco25m.SMC12.2M00000717-7213573',b'lco25m',b'SMC12',0.029898,-72.232605
25,b'2M00000797+6436119',b'apo25m.117+01.2M00000797+6436119',b'apo25m',b'117+01',0.03324,64.603325
26,b'2M00000799+7939442',b'apo25m.120+18.2M00000799+7939442',b'apo25m',b'120+18',0.033324,79.662292
27,b'2M00000818+5634264',b'apo25m.N7789.2M00000818+5634264',b'apo25m',b'N7789',0.034096,56.574017
28,b'2M00000866+7122144',b'apo25m.120+08.2M00000866+7122144',b'apo25m',b'120+08',0.036099,71.370689
29,b'2M00000940+5515185',b'apo25m.NGC7789_MGA.2M00000940+5515185',b'apo25m',b'NGC7789_MGA',0.039186,55.255161
30,b'2M00000943+6254542',b'apo25m.116+00.2M00000943+6254542',b'apo25m',b'116+00',0.03931,62.915077
31,b'2M00001045+6126148',b'apo25m.116+00.2M00001045+6126148',b'apo25m',b'116+00',0.043567,61.437454
32,b'2M00001071+6258172',b'apo25m.116+00.2M00001071+6258172',b'apo25m',b'116+00',0.04464,62.97147
33,b'2M00001104+6348085',b'apo25m.117+01.2M00001104+6348085',b'apo25m',b'117+01',0.046017,63.802372
34,b'2M00001153+5736447',b'apo25m.NGC7789_MGA.2M00001153+5736447',b'apo25m',b'NGC7789_MGA',0.048061,57.612431
35,b'2M00001199+6114138',b'apo25m.116+00.2M00001199+6114138',b'apo25m',b'116+00',0.049987,61.237167
36,b'2M00001210-1903382',b'apo25m.060-75.2M00001210-1903382',b'apo25m',b'060-75',0.050442,-19.060629
37,b'2M00001217-1949306',b'apo25m.060-75.2M00001217-1949306',b'apo25m',b'060-75',0.050724,-19.825167
38,b'2M00001231-7218301',b'lco25m.SMC12.2M00001231-7218301',b'lco25m',b'SMC12',0.051319,-72.308365
39,b'2M00001242+5524391',b'apo25m.N7789.2M00001242+5524391',b'apo25m',b'N7789',0.051787,55.410862
40,b'2M00001242+5524391',b'apo25m.NGC7789_MGA.2M00001242+5524391',b'apo25m',b'NGC7789_MGA',0.051787,55.410862
41,b'2M00001296+5851378',b'apo25m.116-04.2M00001296+5851378',b'apo25m',b'116-04',0.054009,58.8605
42,b'2M00001328+5725563',b'apo25m.N7789.2M00001328+5725563',b'apo25m',b'N7789',0.05535,57.432327
43,b'2M00001362-1913042',b'apo25m.060-75.2M00001362-1913042',b'apo25m',b'060-75',0.056761,-19.217836
44,b'2M00001476+5607372',b'apo25m.NGC7789_btx.2M00001476+5607372',b'apo25m',b'NGC7789_btx',0.061509,56.127014
45,b'2M00001493+5534446',b'apo25m.NGC7789_btx.2M00001493+5534446',b'apo25m',b'NGC7789_btx',0.062212,55.579067
46,b'2M00001508+6229364',b'apo25m.116+00.2M00001508+6229364',b'apo25m',b'116+00',0.062859,62.493454
47,b'2M00001616+1606151',b'apo25m.105-45.2M00001616+1606151',b'apo25m',b'105-45',0.067374,16.104208
48,b'2M00001638+7924440',b'apo25m.120+18.2M00001638+7924440',b'apo25m',b'120+18',0.068263,79.412231
49,b'2M00001648+6306232',b'apo25m.116+00.2M00001648+6306232',b'apo25m',b'116+00',0.068697,63.106445
